,retweeted,favorited,statuses_count,followers_count,friends_count,favourites_count,protected,verified,notifications,class
112,0,0,3061,344,373,9714,0,0,0,0
113,0,0,13647,647,207,2027,0,0,0,0
114,0,0,75404,5919,4896,34831,0,0,0,0
115,0,0,183848,1524,1676,467844,0,0,0,0
116,0,0,3242,69,371,510,0,0,0,0
117,0,0,8432,3499,4031,6481,0,0,0,0
118,0,0,763,1153,563,699,0,0,0,0
119,0,0,8546,163,113,1977,0,0,0,0
120,0,0,23270,602,1541,58551,1,0,0,0
121,0,0,2946,274,1003,12814,0,0,0,0
122,0,0,26897,563,1008,16976,0,0,0,0
123,0,0,3414,22256,19911,277,0,0,0,0
124,0,0,23405,2236,2907,85480,0,0,0,0
125,0,0,24443,2074,4321,54609,0,0,0,0
126,0,0,830,448,443,4042,0,0,0,0
127,0,0,20367,2993,1988,193671,0,0,0,0
128,0,0,53525,13672,8020,29037,0,0,0,0
129,0,0,112,7,227,6443,0,0,0,0
130,0,0,44633,8755,3986,41839,0,1,0,0
131,0,0,2937,148,469,2842,0,0,0,0
132,0,0,107252,1486,671,4360,0,0,0,0
133,0,0,10494,3081,4684,18889,0,0,0,0
134,0,0,82209,736,2180,226325,0,0,0,0
135,0,0,3443,263,809,32593,0,0,0,0
136,0,0,6868,439,374,31937,0,0,0,0
137,0,0,15489,973,1860,33010,0,0,0,0
138,0,0,50290,7539,883,18429,0,1,0,0
139,0,0,137011,15298,3696,36958,0,1,0,0
140,0,0,9930,16472,1782,138,0,0,0,0
141,0,0,43368,1605,1590,26452,0,0,0,0
142,0,0,729,60,510,4873,0,0,0,0
143,0,0,264070,2141,555,141313,0,0,0,0
144,0,0,10270,515,2823,16007,0,0,0,0
145,0,0,1732,162,172,673,0,0,0,0
146,0,0,16696,1076,366,585,0,0,0,0
147,0,0,3327,2095,1679,9717,0,0,0,0
148,0,0,1086,1409,2765,4443,0,0,0,0
149,0,0,3041,4548,4422,5458,0,0,0,0
150,0,0,922,128,446,1609,0,0,0,0
151,0,0,6681,31104,31227,28177,0,0,0,0
152,0,0,226,55,238,9,0,0,0,0
153,0,0,27675,153,212,4996,0,0,0,0
154,0,0,100941,2334,3274,119892,0,0,0,0
155,0,0,3295,236,3417,16540,0,0,0,0
156,0,0,5793,153,1473,18901,0,0,0,0
157,0,0,117877,218624,3967,8377,0,1,0,0
158,0,0,117884,1638,1862,51889,0,0,0,0
159,0,0,61088,358905,999,2682,0,1,0,0
160,0,0,2,4,58,5,0,0,0,0
161,0,0,191,4820,1842,179,0,0,0,0
162,0,0,2039,8022,0,10,0,0,0,0
163,0,0,11068,11245,11854,1078,0,0,0,0
164,0,0,2999,206,405,290,0,0,0,0
165,0,0,3991,440233,1106,221,0,1,0,0
166,0,0,17489,448,545,1756,0,0,0,0
167,0,0,2044,238,795,351,0,0,0,0
168,0,0,57643,1999932,1278,28,0,1,0,0
169,0,0,513,167,37,73,0,0,0,0
170,0,0,3697,13632,2410,9742,0,0,0,0
171,0,0,236192,13527,14880,144497,0,0,0,0
172,0,0,689,132,339,4671,0,0,0,0
173,0,0,68278,5012,5340,118752,0,0,0,0
174,0,0,10109,203,1100,48293,0,0,0,0
175,0,0,76250,2054,1983,40769,0,0,0,0
176,0,0,123899,2817,4998,164451,0,0,0,0
177,0,0,20211,307,648,531,0,0,0,0
178,0,0,1457,69,902,9742,0,0,0,0
179,0,0,60236,60845,29348,92026,0,0,0,0
180,0,0,24825,2993,1563,13751,0,0,0,0
181,0,0,441,23,17,732,0,0,0,0
182,0,0,8077,1146,1884,3148,0,0,0,0
183,0,0,8003,71193,1658,2453,0,1,0,0
184,0,0,21362,380,1845,30558,0,0,0,0
185,0,0,616,240,904,96,0,0,0,0
186,0,0,7903,2627,4768,31165,0,0,0,0
187,0,0,20195,4539651,824,402879,0,1,0,0
188,0,0,114393,343,1188,238398,0,0,0,0
189,0,0,56878,145426,138462,60067,0,0,0,0
190,0,0,123654,2446,3277,152365,0,0,0,0
191,0,0,28,9,9,0,0,0,0,0
192,0,0,12438,2777,870,4260,0,0,0,0
193,0,0,312,22789,70,306,0,0,0,0
194,0,0,12419,201899,393,8114,0,0,0,0
195,0,0,8692,561,975,3171,0,0,0,0
196,0,0,3780,1216,1554,3169,0,0,0,0
197,0,0,63458,140340,9722,879121,0,0,0,0
198,0,0,2730,1305,1296,36366,0,0,0,0
199,0,0,2845,137,365,13390,0,0,0,0
200,0,0,1841,17698,756,5869,0,0,0,0
201,0,0,1766,554,2159,3197,0,0,0,0
202,0,0,8329,136,74,3831,0,0,0,0
203,0,0,52756,253730,496,23978,0,1,0,0
204,0,0,30240,257,467,37943,0,0,0,0
205,0,0,1034,869,1638,3369,0,0,0,0
206,0,0,11,15,69,30,0,0,0,0
207,0,0,62046,82576,27242,5,0,0,0,0
208,0,0,5077,111,291,16358,0,0,0,0
209,0,0,96706,3751,244,31079,0,0,0,0
210,0,0,15612,7626,2167,9547,0,0,0,0
211,0,0,2933,1098,1412,3296,0,0,0,0
212,0,0,51,51,123,3189,0,0,0,0
213,0,0,4232,1282,2898,4000,0,0,0,0
214,0,0,8574,7048,6618,4875,0,0,0,0
215,0,0,2733,25780,25728,13205,0,0,0,0
216,0,0,25555,1136,1585,209953,0,0,0,0
217,0,0,12863,179,82,69,0,0,0,0
218,0,0,4363,150334,107635,83462,0,0,0,0
219,0,0,5046,2214,1457,10966,0,0,0,0
220,0,0,10287,61,504,3899,0,0,0,0
221,0,0,25871,326,440,32487,0,0,0,0
222,0,0,1678,2744,2790,597,0,0,0,0
223,0,0,221,23,45,231,0,0,0,0
224,0,0,4525,147,375,3312,0,0,0,0
225,0,0,596,199,453,1932,0,0,0,0
226,0,0,2403,580,573,4170,0,0,0,0
227,0,0,9274,166,785,8243,0,0,0,0
228,0,0,1674,620,427,2160,0,0,0,0
229,0,0,1788,31418,294,3671,0,0,0,0
230,0,0,2847,545,443,2198,0,0,0,0
231,0,0,58083,1294,376,5933,0,0,0,0
232,0,0,53145,56211,1373,92398,0,0,0,0
233,0,0,6325,257,267,13755,0,0,0,0
234,0,0,6446,5252,5654,7562,0,0,0,0
235,0,0,139790,3743,768,61001,0,0,0,0
236,0,0,303,358,204,173,0,0,0,0
237,0,0,752,41,173,4268,0,0,0,0
238,0,0,39,102,109,3,0,0,0,0
239,0,0,9224,1504,1689,761,0,0,0,0
240,0,0,15,2,21,10,0,0,0,0
241,0,0,45379,53804,50294,45105,0,0,0,0
242,0,0,2238,110,621,15303,0,0,0,0
243,0,0,291,38,193,1139,0,0,0,0
244,0,0,9536,546,740,20864,0,0,0,0
245,0,0,2251,1160,1197,8031,0,0,0,0
246,0,0,61,21,563,1118,0,0,0,0
247,0,0,38438,191,2052,48338,0,0,0,0
248,0,0,101335,927934,12,3,0,1,0,0
249,0,0,76211,12684,4443,116100,0,0,0,0
250,0,0,180741,139234,94988,5656,0,0,0,0
251,0,0,16843,544,355,99447,0,0,0,0
252,0,0,1199,1350,1323,3370,0,0,0,0
253,0,0,722,246,495,1237,0,0,0,0
254,0,0,27,72,483,1320,0,0,0,0
255,0,0,59163,199,2869,57098,0,0,0,0
256,0,0,2128,31,124,694,0,0,0,0
257,0,0,125,168,152,88,0,0,0,0
258,0,0,33355,7418,6569,11725,0,0,0,0
259,0,0,1346,190,682,32747,0,0,0,0
260,0,0,32351,932,1554,148224,0,0,0,0
261,0,0,17569,1897,538,19543,0,0,0,0
262,0,0,140,2766,20,101,0,0,0,0
263,0,0,48,14,60,68,0,0,0,0
264,0,0,5957,1394,933,7966,0,0,0,0
265,0,0,74764,830,1084,177219,0,0,0,0
266,0,0,363,3,17,4,0,0,0,0
267,0,0,57694,9622,9787,34272,0,0,0,0
268,0,0,29,46,70,203,0,0,0,0
269,0,0,7,14,26,0,0,0,0,0
270,0,0,36519,187,526,14529,0,0,0,0
271,0,0,1291,79,451,549,0,0,0,0
272,0,0,61,28,88,583,0,0,0,0
273,0,0,1214,107,193,10658,0,0,0,0
274,0,0,4,62,60,133,0,0,0,0
275,0,0,12163,166,166,63211,0,0,0,0
